,Frequency,Phase
364,182.1,-0.0060713235259648585
365,182.6,-0.006088001126293219
366,183.1,-0.006104678786684249
367,183.6,-0.00612135650730264
368,184.1,-0.006138034288313091
369,184.6,-0.006154712129880293
370,185.1,-0.006171390032168948
371,185.6,-0.0061880679953437556
372,186.1,-0.006204746019569417
373,186.6,-0.006221424105010638
374,187.1,-0.006238102251832122
375,187.6,-0.006254780460198577
376,188.1,-0.006271458730274717
377,188.6,-0.006288137062225249
378,189.1,-0.006304815456214888
379,189.6,-0.006321493912408351
380,190.1,-0.006338172430970353
381,190.6,-0.006354851012065615
382,191.1,-0.006371529655858857
383,191.6,-0.006388208362514801
384,192.1,-0.006404887132198178
385,192.6,-0.00642156596507371
386,193.1,-0.006438244861306127
387,193.6,-0.006454923821060162
388,194.1,-0.006471602844500545
389,194.6,-0.006488281931792013
390,195.1,-0.006504961083099302
391,195.6,-0.006521640298587154
392,196.1,-0.0065383195784203055
393,196.6,-0.006554998922763502
394,197.1,-0.006571678331781488
395,197.6,-0.00658835780563901
396,198.1,-0.00660503734450082
397,198.6,-0.006621716948531664
398,199.1,-0.006638396617896299
399,199.6,-0.006655076352759478
400,200.1,-0.006671756153285959
401,200.6,-0.006688436019640502
402,201.1,-0.006705115951987866
403,201.6,-0.006721795950492816
404,202.1,-0.006738476015320115
405,202.6,-0.006755156146634533
406,203.1,-0.006771836344600839
407,203.6,-0.0067885166093838035
408,204.1,-0.006805196941148199
409,204.6,-0.006821877340058803
410,205.1,-0.0068385578062803935
411,205.6,-0.0068552383399777496
412,206.1,-0.006871918941315652
413,206.6,-0.006888599610458885
414,207.1,-0.0069052803475722355
415,207.6,-0.006921961152820493
416,208.1,-0.0069386420263684466
417,208.6,-0.006955322968380887
418,209.1,-0.00697200397902261
419,209.6,-0.006988685058458413
420,210.1,-0.007005366206853094
421,210.6,-0.0070220474243714555
422,211.1,-0.0070387287111783
423,211.6,-0.007055410067438429
424,212.1,-0.007072091493316654
425,212.6,-0.0070887729889777835
426,213.1,-0.007105454554586632
427,213.6,-0.007122136190308009
428,214.1,-0.00713881789630673
429,214.6,-0.007155499672747616
430,215.1,-0.0071721815197954885
431,215.6,-0.00718886343761517
432,216.1,-0.007205545426371481
433,216.6,-0.007222227486229252
434,217.1,-0.007238909617353311
435,217.6,-0.0072555918199084905
436,218.1,-0.007272274094059626
437,218.6,-0.007288956439971548
438,219.1,-0.007305638857809097
439,219.6,-0.0073223213477371174
440,220.1,-0.007339003909920446
441,220.6,-0.007355686544523932
442,221.1,-0.0073723692517124175
443,221.6,-0.007389052031650756
444,222.1,-0.007405734884503798
445,222.6,-0.007422417810436397
446,223.1,-0.007439100809613411
447,223.6,-0.007455783882199696
448,224.1,-0.007472467028360112
449,224.6,-0.007489150248259522
450,225.1,-0.007505833542062795
451,225.6,-0.007522516909934796
452,226.1,-0.007539200352040392
453,226.6,-0.0075558838685444605
454,227.1,-0.007572567459611872
455,227.6,-0.007589251125407505
456,228.1,-0.007605934866096237
457,228.6,-0.007622618681842953
458,229.1,-0.007639302572812531
459,229.6,-0.007655986539169862
460,230.1,-0.0076726705810798304
461,230.6,-0.007689354698707333
462,231.1,-0.007706038892217257
463,231.6,-0.007722723161774498
464,232.1,-0.007739407507543958
465,232.6,-0.007756091929690534
466,233.1,-0.007772776428379132
467,233.6,-0.00778946100377465
468,234.1,-0.0078061456560420016
469,234.6,-0.007822830385346095
470,235.1,-0.007839515191851838
471,235.6,-0.007856200075724153
472,236.1,-0.007872885037127951
473,236.6,-0.00788957007622815
474,237.1,-0.00790625519318968
475,237.6,-0.007922940388177455
476,238.1,-0.00793962566135641
477,238.6,-0.007956311012891465
478,239.1,-0.007972996442947562
479,239.6,-0.007989681951689623
480,240.1,-0.008006367539282596
481,240.6,-0.008023053205891412
482,241.1,-0.008039738951681013
483,241.6,-0.008056424776816345
484,242.1,-0.008073110681462351
485,242.6,-0.008089796665783982
486,243.1,-0.00810648272994619
487,243.6,-0.008123168874113927
488,244.1,-0.008139855098452147
489,244.6,-0.008156541403125814
490,245.1,-0.008173227788299882
491,245.6,-0.00818991425413932
492,246.1,-0.008206600800809087
493,246.6,-0.008223287428474162
494,247.1,-0.008239974137299506
495,247.6,-0.008256660927450097
496,248.1,-0.008273347799090915
497,248.6,-0.008290034752386927
498,249.1,-0.008306721787503126
499,249.6,-0.008323408904604491
500,250.1,-0.008340096103856007
501,250.6,-0.00835678338542266
502,251.1,-0.008373470749469451
503,251.6,-0.008390158196161365
504,252.1,-0.0084068457256634
505,252.6,-0.00842353333814056
506,253.1,-0.008440221033757838
507,253.6,-0.008456908812680247
508,254.1,-0.008473596675072788
509,254.6,-0.008490284621100469
510,255.1,-0.008506972650928308
511,255.6,-0.008523660764721315
512,256.1,-0.008540348962644509
513,256.6,-0.008557037244862906
514,257.1,-0.008573725611541535
515,257.6,-0.008590414062845416
516,258.1,-0.008607102598939577
517,258.6,-0.00862379121998905
518,259.1,-0.008640479926158864
519,259.6,-0.008657168717614058
520,260.1,-0.008673857594519673
